id,model,loại,tên case,input,expected,actual,kết quả,ghi chú
TC-ML01-01,ML01,Nhãn cơ bản,"Hộ dư dả, đệm dày → GROWTH","thu nhập/tháng=40,000,000 · chi tiêu/tháng=18,000,000 · trả nợ/tháng=2,000,000 · tiết kiệm=200,000,000 · tuổi=38 · hộ/con=4/2 · savings_months=11.111 · dti=0.05 · savings_rate=0.5",GROWTH,GROWTH (p=0.999),PASS,g(·): sm=11.11 · dti=0.050 · sr=0.500
TC-ML01-02,ML01,Nhãn cơ bản,Dòng tiền âm → EMERGENCY,"thu nhập/tháng=15,000,000 · chi tiêu/tháng=16,000,000 · trả nợ/tháng=2,000,000 · tiết kiệm=5,000,000 · tuổi=38 · hộ/con=4/2 · savings_months=0.312 · dti=0.1333 · savings_rate=-0.2",EMERGENCY,EMERGENCY (p=0.999),PASS,g(·): sm=0.31 · dti=0.133 · sr=-0.200
TC-ML01-03,ML01,Nhãn cơ bản,Dư tiền nhưng không có đệm → EMERGENCY,"thu nhập/tháng=30,000,000 · chi tiêu/tháng=20,000,000 · trả nợ/tháng=0 · tiết kiệm=10,000,000 · tuổi=38 · hộ/con=4/2 · savings_months=0.5 · dti=0.0 · savings_rate=0.3333",EMERGENCY,EMERGENCY (p=0.992),PASS,g(·): sm=0.50 · dti=0.000 · sr=0.333
TC-ML01-04,ML01,Nhãn cơ bản,Gánh nặng trả nợ nặng → DEBT_FOCUS,"thu nhập/tháng=30,000,000 · chi tiêu/tháng=12,000,000 · trả nợ/tháng=13,000,000 · tiết kiệm=100,000,000 · tuổi=38 · hộ/con=4/2 · savings_months=8.333 · dti=0.4333 · savings_rate=0.1667",DEBT_FOCUS,DEBT_FOCUS (p=0.720),PASS,g(·): sm=8.33 · dti=0.433 · sr=0.167
TC-ML01-05,ML01,Nhãn cơ bản,Đệm mỏng (2 tháng) → BUILD_BUFFER,"thu nhập/tháng=25,000,000 · chi tiêu/tháng=15,000,000 · trả nợ/tháng=1,000,000 · tiết kiệm=30,000,000 · tuổi=38 · hộ/con=4/2 · savings_months=2.0 · dti=0.04 · savings_rate=0.36",BUILD_BUFFER,BUILD_BUFFER (p=0.968),PASS,g(·): sm=2.00 · dti=0.040 · sr=0.360
TC-ML01-06,ML01,Nhãn cơ bản,"Tỉ lệ tiết kiệm 7,5% < 10% → BUILD_BUFFER","thu nhập/tháng=20,000,000 · chi tiêu/tháng=17,000,000 · trả nợ/tháng=1,500,000 · tiết kiệm=100,000,000 · tuổi=38 · hộ/con=4/2 · savings_months=5.882 · dti=0.075 · savings_rate=0.075",BUILD_BUFFER,GROWTH (p=0.838),FAIL,g(·): sm=5.88 · dti=0.075 · sr=0.075 ⟶ NGUYÊN NHÂN: nhãn model khớp `g(·)` CŨ (GROWTH) — artifact train 14/08 chưa cập nhật định nghĩa savings_rate
TC-ML01-07,ML01,Ca biên,"Biên DTI = 0,400 đúng bằng ngưỡng","thu nhập/tháng=25,000,000 · chi tiêu/tháng=8,000,000 · trả nợ/tháng=10,000,000 · tiết kiệm=60,000,000 · tuổi=38 · hộ/con=4/2 · savings_months=7.5 · dti=0.4 · savings_rate=0.28",DEBT_FOCUS,GROWTH (p=0.493),FAIL,"dti = 0,400 — điều kiện là `>=` nên phải rơi vào DEBT_FOCUS ⟶ NGUYÊN NHÂN: sai lệch sát biên (g(·) cũ cũng cho DEBT_FOCUS, model vẫn trượt)"
TC-ML01-08,ML01,Ca biên,"Biên DTI = 0,396 ngay dưới ngưỡng","thu nhập/tháng=25,000,000 · chi tiêu/tháng=8,000,000 · trả nợ/tháng=9,900,000 · tiết kiệm=60,000,000 · tuổi=38 · hộ/con=4/2 · savings_months=7.5 · dti=0.396 · savings_rate=0.284",GROWTH,GROWTH (p=0.493),PASS,"Lệch 0,004 so với TC-07 — hai case này phải ra hai nhãn khác nhau"
TC-ML01-09,ML01,Ca biên,"Biên savings_months = 1,0 đúng bằng ngưỡng","thu nhập/tháng=20,000,000 · chi tiêu/tháng=10,000,000 · trả nợ/tháng=0 · tiết kiệm=10,000,000 · tuổi=38 · hộ/con=4/2 · savings_months=1.0 · dti=0.0 · savings_rate=0.5",BUILD_BUFFER,BUILD_BUFFER (p=0.487),PASS,`< 1` là sai → không EMERGENCY; nhưng `< 3` đúng → BUILD_BUFFER
TC-ML01-10,ML01,Ca biên,"Biên savings_months = 0,99 ngay dưới ngưỡng","thu nhập/tháng=20,000,000 · chi tiêu/tháng=10,000,000 · trả nợ/tháng=0 · tiết kiệm=9,900,000 · tuổi=38 · hộ/con=4/2 · savings_months=0.99 · dti=0.0 · savings_rate=0.5",EMERGENCY,BUILD_BUFFER (p=0.487),FAIL,"Lệch 100.000đ tiết kiệm so với TC-09 — đổi nhãn sang EMERGENCY ⟶ NGUYÊN NHÂN: sai lệch sát biên (g(·) cũ cũng cho EMERGENCY, model vẫn trượt)"
